county,Species,value
Muranga,Goats(Meat),107095
Muranga,Pigs,48373
Muranga,Rabbits,64284
Muranga,Sheep(Hair),41841
Muranga,Sheep(Total),60300
Muranga,Sheep(Wool),18459
Nairobi,Camels,3
Nairobi,Cattle(Beef),14485
Nairobi,Cattle(Dairy),13390
Nairobi,Cattle(Total),27875
Nairobi,Chicken(Broilers),269974
Nairobi,Chicken(Indigenous),139005
Nairobi,Chicken(Layers),238043
Nairobi,Chicken(Total),647022
Nairobi,Donkeys,400
Nairobi,Goat(Total),26222
Nairobi,Goats(Dairy),4412
Nairobi,Goats(Meat),21810
Nairobi,Pigs,18200
Nairobi,Rabbits,24974
Nairobi,Sheep(Hair),13334
Nairobi,Sheep(Total),13340
Nairobi,Sheep(Wool),6
Nakuru,Camels,0
Nakuru,Cattle(Beef),251150
Nakuru,Cattle(Dairy),466779
Nakuru,Cattle(Total),717929
Nakuru,Chicken(Broilers),164613
Nakuru,Chicken(Indigenous),301737
Nakuru,Chicken(Layers),1559545
Nakuru,Chicken(Total),2025895
Nakuru,Donkeys,21490
Nakuru,Goat(Total),345763
Nakuru,Goats(Dairy),47593
Nakuru,Goats(Meat),298170
Nakuru,Pigs,27517
Nakuru,Rabbits,66376
Nakuru,Sheep(Hair),537937
Nakuru,Sheep(Total),797440
Nakuru,Sheep(Wool),259503
Nandi,Camels,0
Nandi,Cattle(Beef),72882
Nandi,Cattle(Dairy),182667
Nandi,Cattle(Total),255549
Nandi,Chicken(Broilers),23542
Nandi,Chicken(Indigenous),62523
Nandi,Chicken(Layers),547042
Nandi,Chicken(Total),633107
Nandi,Donkeys,4588
Nandi,Goat(Total),34945
Nandi,Goats(Dairy),3606
Nandi,Goats(Meat),31339
Nandi,Pigs,1105
Nandi,Rabbits,4197
Nandi,Sheep(Hair),102002
Nandi,Sheep(Total),112415
Nandi,Sheep(Wool),10413
Narok,Camels,0
Narok,Cattle(Beef),1387727
Narok,Cattle(Dairy),101940
Narok,Cattle(Total),1489667
Narok,Chicken(Broilers),5001
Narok,Chicken(Indigenous),58987
Narok,Chicken(Layers),768238
Narok,Chicken(Total),832226
Narok,Donkeys,87810
Narok,Goat(Total),961017
Narok,Goats(Dairy),4927
Narok,Goats(Meat),956090
Narok,Pigs,2530
Narok,Rabbits,3994
Narok,Sheep(Hair),2649020
Narok,Sheep(Total),2722216
Narok,Sheep(Wool),73196
Nyamira,Camels,0
Nyamira,Cattle(Beef),88814
Nyamira,Cattle(Dairy),36380
Nyamira,Cattle(Total),125194
Nyamira,Chicken(Broilers),10787
Nyamira,Chicken(Indigenous),67709
Nyamira,Chicken(Layers),499680
Nyamira,Chicken(Total),578176
Nyamira,Donkeys,758
Nyamira,Goat(Total),44128
Nyamira,Goats(Dairy),1361
Nyamira,Goats(Meat),42767
Nyamira,Pigs,1510
Nyamira,Rabbits,3116
Nyamira,Sheep(Hair),13137
Nyamira,Sheep(Total),13457
Nyamira,Sheep(Wool),320
Nyandarua,Camels,0
Nyandarua,Cattle(Beef),40300
Nyandarua,Cattle(Dairy),385200
Nyandarua,Cattle(Total),425500
Nyandarua,Chicken(Broilers),44000
Nyandarua,Chicken(Indigenous),35100
Nyandarua,Chicken(Layers),832800
Nyandarua,Chicken(Total),911900
Nyandarua,Donkeys,8420
Nyandarua,Goat(Total),100400
Nyandarua,Goats(Dairy),20900
Nyandarua,Goats(Meat),79500
Nyandarua,Pigs,8530
Nyandarua,Rabbits,56550
Nyandarua,Sheep(Hair),228300
Nyandarua,Sheep(Total),568500
Nyandarua,Sheep(Wool),340200
Nyeri,Camels,0
Nyeri,Cattle(Beef),2200
Nyeri,Cattle(Dairy),188500
Nyeri,Cattle(Total),190700
Nyeri,Chicken(Broilers),186800
Nyeri,Chicken(Indigenous),117490
Nyeri,Chicken(Layers),781940
Nyeri,Chicken(Total),1086230
Nyeri,Donkeys,739
Nyeri,Goat(Total),127185
Nyeri,Goats(Dairy),53195
Nyeri,Goats(Meat),73990
Nyeri,Pigs,13115
Nyeri,Rabbits,28680
Nyeri,Sheep(Hair),156560
Nyeri,Sheep(Total),161850
Nyeri,Sheep(Wool),5290
Samburu,Camels,60018
Samburu,Cattle(Beef),274606
Samburu,Cattle(Dairy),6001
Samburu,Cattle(Total),280607
Samburu,Chicken(Broilers),1538
Samburu,Chicken(Indigenous),3497
Samburu,Chicken(Layers),171592
Samburu,Chicken(Total),176627
Samburu,Donkeys,20761
Samburu,Goat(Total),610498
Samburu,Goats(Dairy),3732
Samburu,Goats(Meat),606766
Samburu,Pigs,744
Samburu,Rabbits,343
Samburu,Sheep(Hair),526317
Samburu,Sheep(Total),526317
Samburu,Sheep(Wool),0
Siaya,Camels,9
Siaya,Cattle(Beef),504124
Siaya,Cattle(Dairy),12568
Siaya,Cattle(Total),516692
Siaya,Chicken(Broilers),144020
Siaya,Chicken(Indigenous),120798
Siaya,Chicken(Layers),1278109
Siaya,Chicken(Total),1542927
Siaya,Donkeys,11020
Siaya,Goat(Total),411837
Siaya,Goats(Dairy),9769
Siaya,Goats(Meat),402068
Siaya,Pigs,20260
Siaya,Rabbits,18522
Siaya,Sheep(Hair),227135
Siaya,Sheep(Total),227135
Siaya,Sheep(Wool),0
Taita Taveta,Camels,1242
Taita Taveta,Cattle(Beef),158925
Taita Taveta,Cattle(Dairy),32981
Taita Taveta,Cattle(Total),191906
Taita Taveta,Chicken(Broilers),71207
Taita Taveta,Chicken(Indigenous),204880
Taita Taveta,Chicken(Layers),796494
Taita Taveta,Chicken(Total),1072581
Taita Taveta,Donkeys,3894
Taita Taveta,Goat(Total),377554
Taita Taveta,Goats(Dairy),5221
Taita Taveta,Goats(Meat),372333
Taita Taveta,Pigs,2725
Taita Taveta,Rabbits,14582
Taita Taveta,Sheep(Hair),64096
Taita Taveta,Sheep(Total),64096
Taita Taveta,Sheep(Wool),0
Tana River,Camels,71657
Tana River,Cattle(Beef),515558
Tana River,Cattle(Dairy),125
Tana River,Cattle(Total),515683
Tana River,Chicken(Broilers),2506
Tana River,Chicken(Indigenous),9099
Tana River,Chicken(Layers),110366
Tana River,Chicken(Total),121971
Tana River,Donkeys,27012
Tana River,Goat(Total),909718
Tana River,Goats(Dairy),1098
Tana River,Goats(Meat),908620
Tana River,Pigs,54
Tana River,Rabbits,419
Tana River,Sheep(Hair),320385
Tana River,Sheep(Total),320385
Tana River,Sheep(Wool),0
Tharaka Nithi,Camels,0
Tharaka Nithi,Cattle(Beef),92777
Tharaka Nithi,Cattle(Dairy),76675
Tharaka Nithi,Cattle(Total),169452
Tharaka Nithi,Chicken(Broilers),25491
Tharaka Nithi,Chicken(Indigenous),45660
Tharaka Nithi,Chicken(Layers),541772
Tharaka Nithi,Chicken(Total),612923
Tharaka Nithi,Donkeys,4662
Tharaka Nithi,Goat(Total),1162904
Tharaka Nithi,Goats(Dairy),22815
Tharaka Nithi,Goats(Meat),1140089
Tharaka Nithi,Pigs,16503
Tharaka Nithi,Rabbits,101271
Tharaka Nithi,Sheep(Hair),57512
Tharaka Nithi,Sheep(Total),57512
Tharaka Nithi,Sheep(Wool),0
Trans-Nzoia,Camels,0
Trans-Nzoia,Cattle(Beef),8379
Trans-Nzoia,Cattle(Dairy),211168
Trans-Nzoia,Cattle(Total),219547
Trans-Nzoia,Chicken(Broilers),23414
Trans-Nzoia,Chicken(Indigenous),262668
